Codigo,Descricao,NotaFiscal,DataVenda,WeekVenda,Quantidade,LinhaProduto,ClienteGrupo,Cliente,CentroCusto
1,ANEL SINCRONIZADOR D140,13205,2018-02-08,2018w06,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,13219,2018-02-15,2018w07,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,13244,2018-02-22,2018w08,4,1,1058,075,21320
1,ANEL SINCRONIZADOR D140,13289,2018-03-02,2018w09,2,1,1058,075,21320
1,ANEL SINCRONIZADOR D140,13378,2018-03-23,2018w12,1,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,13390,2018-03-27,2018w13,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,13529,2018-05-04,2018w18,1,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,13608,2018-05-28,2018w22,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13695,2018-06-13,2018w24,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13699,2018-06-13,2018w24,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13734,2018-06-21,2018w25,2,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,13743,2018-06-22,2018w25,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13763,2018-06-28,2018w26,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13790,2018-07-02,2018w27,2,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,13794,2018-07-03,2018w27,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,13802,2018-07-05,2018w27,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13807,2018-07-06,2018w27,2,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,13822,2018-07-10,2018w28,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,13833,2018-07-11,2018w28,4,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,13849,2018-07-16,2018w29,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,13850,2018-07-16,2018w29,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13854,2018-07-17,2018w29,6,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,13860,2018-07-17,2018w29,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13861,2018-07-17,2018w29,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13871,2018-07-20,2018w29,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13876,2018-07-23,2018w30,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,13882,2018-07-24,2018w30,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,13885,2018-07-24,2018w30,4,1,1027,251,21320
1,ANEL SINCRONIZADOR D140,13909,2018-07-26,2018w30,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13913,2018-07-26,2018w30,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13915,2018-07-27,2018w30,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13916,2018-07-27,2018w30,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,13933,2018-08-01,2018w31,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,13950,2018-08-06,2018w32,2,1,1027,095,21320
1,ANEL SINCRONIZADOR D140,13951,2018-08-06,2018w32,2,1,1027,095,21320
1,ANEL SINCRONIZADOR D140,13963,2018-08-08,2018w32,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13967,2018-08-08,2018w32,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13968,2018-08-08,2018w32,1,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,13973,2018-08-09,2018w32,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,13981,2018-08-09,2018w32,1,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,13992,2018-08-13,2018w33,2,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,13996,2018-08-14,2018w33,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,13997,2018-08-14,2018w33,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,14012,2018-08-16,2018w33,4,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14029,2018-08-20,2018w34,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14053,2018-08-22,2018w34,4,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,14099,2018-08-31,2018w35,4,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14100,2018-08-31,2018w35,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14114,2018-09-04,2018w36,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,14130,2018-09-06,2018w36,2,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14136,2018-09-10,2018w37,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14156,2018-09-11,2018w37,4,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,14165,2018-09-13,2018w37,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14176,2018-09-17,2018w38,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,14188,2018-09-18,2018w38,3,1,1013,233,21320
1,ANEL SINCRONIZADOR D140,14202,2018-09-20,2018w38,2,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,14203,2018-09-21,2018w38,2,1,1095,301,21320
1,ANEL SINCRONIZADOR D140,14207,2018-09-24,2018w39,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14209,2018-09-25,2018w39,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14218,2018-09-26,2018w39,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14248,2018-09-28,2018w39,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14251,2018-09-28,2018w39,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14275,2018-10-02,2018w40,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14309,2018-10-10,2018w41,2,1,1146,171,21320
1,ANEL SINCRONIZADOR D140,14314,2018-10-11,2018w41,4,1,1144,169,21320
1,ANEL SINCRONIZADOR D140,14324,2018-10-15,2018w42,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14349,2018-10-18,2018w42,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14368,2018-10-23,2018w43,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14370,2018-10-23,2018w43,2,1,1064,083,21320
1,ANEL SINCRONIZADOR D140,14412,2018-10-26,2018w43,2,1,1264,304,21320
1,ANEL SINCRONIZADOR D140,14449,2018-11-01,2018w44,2,1,1027,028,21320
1,ANEL SINCRONIZADOR D140,14457,2018-11-01,2018w44,2,1,1064,083,21320
