Codigo,Descricao,NotaFiscal,DataVenda,Quantidade,LinhaProduto,ClienteGrupo,Cliente,CentroCusto,EstoqueMinimo,DataUltimaCompra,DataUltimaVenda
131,SENSOR DE DESGASTE DA PASTILHA DE FREIO,12440,05/01/17,2,2,1049,66,22330,20,21/01/20,17/01/20
143,SENSOR DE DESGASTE DO FREIO,12440,05/01/17,2,2,1049,66,22330,26,26/12/19,17/01/20
45,JUNTA METALICA DA BOMBA DAGUA,12444,06/01/17,1,2,1135,158,22330,0,17/01/20,10/01/20
60,ELEMENTO DO FILTRO DE OLEO,12444,06/01/17,1,2,1135,158,22330,0,28/08/19,10/01/20
142,CJ FILTRO DE COMBUSTIVEL COMPLETO,12444,06/01/17,1,2,1135,158,22330,5,12/11/19,08/11/19
179,BOMBA DAGUA,12444,06/01/17,1,2,1135,158,22330,0,02/03/18,06/06/18
60,ELEMENTO DO FILTRO DE OLEO,12447,11/01/17,1,2,1135,158,22330,0,28/08/19,10/01/20
60,ELEMENTO DO FILTRO DE OLEO,12449,11/01/17,1,2,1099,120,22330,0,28/08/19,10/01/20
131,SENSOR DE DESGASTE DA PASTILHA DE FREIO,12447,11/01/17,2,2,1135,158,22330,20,21/01/20,17/01/20
142,CJ FILTRO DE COMBUSTIVEL COMPLETO,12447,11/01/17,1,2,1135,158,22330,5,12/11/19,08/11/19
142,CJ FILTRO DE COMBUSTIVEL COMPLETO,12449,11/01/17,1,2,1099,120,22330,5,12/11/19,08/11/19
143,SENSOR DE DESGASTE DO FREIO,12447,11/01/17,2,2,1135,158,22330,26,26/12/19,17/01/20
143,SENSOR DE DESGASTE DO FREIO,12449,11/01/17,2,2,1099,120,22330,26,26/12/19,17/01/20
7,JG. DE PECAS DO ELEMNTO FILTRO DE OLEO,82893,26/01/17,1,1,1047,257,21330,13,22/10/19,20/01/20
8,CJ ELEMENTO DO FILTRO,82893,26/01/17,1,1,1047,257,21330,12,07/01/20,20/01/20
100,ELEMENTO DO FILTRO DE COMBUSTIVEL,82908,26/01/17,1,1,1047,257,21330,2,25/03/19,15/10/19
